run,old_distance_m,old_budget_thb,our_distance_m,our_budget_thb
516,18539.12,14127.92,18228.29,18050.98
517,21846.6,20979.22,7173.56,18491.09
518,17241.69,18709.4,13358.97,15666.18
519,13101,13238.83,8498.36,13451.15
520,15625.89,13423.36,12016.69,16172.95
521,13774.78,21454.37,13249.95,13861.95
522,18331.05,18364.34,6506.95,14268.26
523,14423.54,18923.84,9306.4,14896.96
524,7544.52,12924.08,14356.05,18284.33
525,20342.82,20055.04,9956.99,14887.69
526,21019.95,19291.89,7670.26,14015.36
527,15526.25,20355.85,10674.57,17135.39
528,10219.41,13784.33,7881.88,15556.05
529,14171.54,18875.86,18413,16286.22
530,13966.89,19691.99,17796.01,14722.86
531,12051.81,19367.48,13703.63,16802.12
532,9343.85,21771.42,11994.84,12045.23
533,7302.68,16057.37,14038.03,14919.17
534,15339.19,17103.32,7643.12,10145.05
535,12013.1,18871.62,12892.62,13630.19
536,13375.7,17041.53,5130.87,17146.94
537,13726.99,23445.68,8486.88,13963.09
538,6753.76,16810.6,13756.68,13985.46
539,10225.41,20157.77,13902.96,14947.03
540,14688.16,15387.22,14474.51,15283.18
541,15127.25,19834.44,10863.28,9697.69
542,17435.98,16376.73,9653.19,19925.21
543,14613.88,17412.42,5216.37,18221.78
544,11012.93,16710.8,12628.06,13831.64
545,12129.2,17814.58,21179.01,16170.54
546,10544.84,18461.61,6506.79,16842.16
547,9282.34,17511.89,9911.21,19066.19
548,9496.95,19084.74,15500.96,18232.04
549,10395.57,20002.21,17549.77,17114.23
550,11520.42,15252.06,6040.63,26007.58
551,11489.57,17561.2,4567.99,18455.73
552,12716.22,17132,9442.92,13451.13
553,11261.14,19804.84,12937.22,16222.86
554,12813.9,16282.78,8574.56,12452.89
555,18789.59,21198.55,8945.53,15052.88
556,17447.76,19433.23,9477.89,14407.66
557,19416.49,18896.24,10622.75,18145.39
558,15585.89,18208.55,11496.52,16807.74
559,8110.76,12453.78,12811.28,11079.5
560,8364.05,17787.85,20273.82,10621.16
561,17261.98,18354.82,12836.55,17576.1
562,7506.84,18499.46,20033.11,19518.61
563,11082.04,16184.32,8252.51,17989.5
564,10799.72,21058.98,9690.05,18084.65
565,15381.88,17320.2,10076.01,15266.25
566,18904.51,17167.68,13589.26,13234.42
567,8986.26,22052.5,4838.22,16013.65
568,11650.77,17935.77,12643.98,17623.33
569,8592.44,24218.68,8522.6,20054.17
570,8781.14,15745.59,11774.62,17774.52
571,17411.67,22801.66,9728.01,17836.65
572,12174.38,20691.92,13094.98,20010.98
573,13562.01,18169.49,9813.79,12647.08
574,6011.46,12766.4,13320.38,17430.35
575,9052.04,16886.55,14538.5,13738.33
576,13486.39,13867.17,13430.48,15757.5
577,11059.29,22172.73,13518.67,12805.89
578,7219.79,15158.95,12552.87,10907.95
579,17501.01,19461.66,6474.52,17314.56
580,8572.15,16405.63,8349.57,14839.05
581,8643.88,18199.54,8339.27,14581.13
582,12263.24,17745.48,25386.25,19496.71
583,13469.3,14165.35,14849.47,12569.44
584,13334.18,15385.95,9639.61,13179.34
585,15273.67,13806.16,18059.82,16212.38
586,12503.49,12370.63,7321.24,15797.37
587,9199.26,16825.54,12897.31,13934.07
588,8896.17,14317.2,8586.79,15430.36
589,21080.09,19020.74,8365.11,12584.22
590,7205.5,19256.32,4424.54,22550.52
591,13566.23,20968.43,14726.18,18753.19
592,8256.93,16808.77,11393.87,18923.4
593,9817.57,14372.94,6910.62,14483.19
594,11074.35,18369.68,5924.04,18776.82
595,12493.08,18851.47,7633.59,13734.41
596,11176.44,17490.96,16308.93,13826.52
597,13513.92,13159.77,11006.71,20341.03
598,10037.65,24314.61,12027.83,14346.52
599,12268.5,19538.36,13818.28,15608.43
600,11194.26,18186.83,6074.39,19885.75
601,18453.81,15226.76,9759.49,15322.95
602,9979.22,21996.79,14579.68,17759.33
603,16205.92,22056.19,12619.8,14307.78
604,27973.98,20296.35,13971.73,14842.14
605,24155.15,21791.69,19477.92,12506.61
606,8783.08,21333.87,8103.66,17854.6
607,15918.61,21462.49,13338.51,12031.82
608,10750.6,16177.12,13948.9,11802.23
609,14313.02,13462.66,11383.37,17282.24
610,9687.91,20022.66,9682.82,18947.36
611,8782.6,16591.74,14239.8,18036.83
612,15452.16,18031.95,19972.67,17923.76
613,11671.08,14840.14,10871.64,15830.8
614,20890.81,21392.81,8088.81,17263.33
615,8709.78,17001.98,7698.16,14912.6
616,16403.19,18522.89,7676.23,12387.03
617,10642.82,20197.78,11753.94,13836.68
618,7420.23,17956.22,10646.77,18212.89
619,11306.69,15674.87,16237.57,17139.36
620,24697.93,16479.53,10231.98,14942.19
621,7146.79,14138.07,16783.93,17462.86
622,16974.1,15981.77,9227.04,17384.52
623,14562.59,17660.48,10557.82,14555.94
624,12218.58,15245.15,14840.9,19734.78
625,12633.03,14208.85,10204.38,14110.15
626,18522.28,18205.01,14013.55,19970
627,11594.23,20341.97,12324.93,16053.19
628,12404.7,19239.62,12367.96,20446.52
629,12357.21,19594.59,9902.56,13806.44
630,7356.61,12010.57,7483.63,22291.63
631,13837.07,16568.23,10444.13,16666.31
632,13529.35,26306,7751.16,12733.03
